w Aex Asm
2.912229e+01 5.390502e-05 5.391803e-05
2.916262e+01 5.369832e-05 5.371040e-05
2.920296e+01 5.349282e-05 5.350408e-05
2.924329e+01 5.328849e-05 5.329903e-05
2.928362e+01 5.308534e-05 5.309524e-05
2.932396e+01 5.288335e-05 5.289267e-05
2.936429e+01 5.268251e-05 5.269131e-05
2.940463e+01 5.248281e-05 5.249114e-05
2.944496e+01 5.228426e-05 5.229215e-05
2.948530e+01 5.208682e-05 5.209433e-05
2.952563e+01 5.189051e-05 5.189765e-05
2.956597e+01 5.169531e-05 5.170211e-05
2.960630e+01 5.150121e-05 5.150769e-05
2.964664e+01 5.130820e-05 5.131439e-05
2.968697e+01 5.111628e-05 5.112219e-05
2.972731e+01 5.092543e-05 5.093109e-05
2.976764e+01 5.073565e-05 5.074107e-05
2.980797e+01 5.054694e-05 5.055213e-05
2.984831e+01 5.035927e-05 5.036425e-05
