w A0 A1 A2 A3 A4 A5 A6 A7
-0.0895 0.03024 1.09066 2.16224 3.24919 4.32911 5.33999 6.35159 7.38983
-0.0879 0.03052 1.09110 2.16306 3.25084 4.33164 5.34169 6.35242 7.39040
-0.0863 0.03080 1.09154 2.16390 3.25254 4.33425 5.34343 6.35326 7.39099
-0.0847 0.03108 1.09199 2.16475 3.25427 4.33692 5.34522 6.35413 7.39159
-0.0831 0.03137 1.09244 2.16562 3.25605 4.33968 5.34706 6.35501 7.39220
-0.0815 0.03167 1.09290 2.16651 3.25787 4.34251 5.34895 6.35592 7.39282
-0.0799 0.03197 1.09337 2.16742 3.25974 4.34542 5.35090 6.35684 7.39346
-0.0783 0.03227 1.09385 2.16834 3.26166 4.34841 5.35289 6.35779 7.39412
-0.0767 0.03257 1.09434 2.16928 3.26362 4.35149 5.35495 6.35877 7.39478
-0.0751 0.03288 1.09483 2.17025 3.26563 4.35466 5.35706 6.35976 7.39547
-0.0735 0.03320 1.09533 2.17123 3.26770 4.35792 5.35923 6.36079 7.39616
-0.0719 0.03352 1.09584 2.17223 3.26981 4.36128 5.36147 6.36183 7.39688
-0.0703 0.03384 1.09636 2.17325 3.27198 4.36474 5.36376 6.36291 7.39761
-0.0687 0.03417 1.09689 2.17430 3.27421 4.36830 5.36613 6.36401 7.39835
-0.0671 0.03451 1.09742 2.17536 3.27650 4.37197 5.36856 6.36513 7.39912
-0.0655 0.03485 1.09797 2.17645 3.27884 4.37575 5.37107 6.36629 7.39990
-0.0639 0.03519 1.09852 2.17756 3.28125 4.37964 5.37365 6.36748 7.40070
-0.0623 0.03554 1.09909 2.17870 3.28373 4.38365 5.37630 6.36870 7.40151
-0.0607 0.03589 1.09966 2.17986 3.28627 4.38778 5.37904 6.36995 7.40235
-0.0591 0.03625 1.10024 2.18104 3.28887 4.39204 5.38185 6.37123 7.40321
-0.0575 0.03662 1.10084 2.18225 3.29155 4.39644 5.38476 6.37254 7.40408
-0.0559 0.03699 1.10144 2.18349 3.29431 4.40096 5.38774 6.37389 7.40498
-0.0543 0.03736 1.10206 2.18475 3.29714 4.40563 5.39083 6.37528 7.40590
-0.0527 0.03774 1.10268 2.18605 3.30004 4.41045 5.39400 6.37671 7.40685
-0.0511 0.03813 1.10332 2.18737 3.30303 4.41541 5.39727 6.37817 7.40781
-0.0494 0.03852 1.10397 2.18872 3.30611 4.42054 5.40065 6.37967 7.40880
-0.0478 0.03892 1.10463 2.19010 3.30927 4.42582 5.40413 6.38122 7.40982
-0.0462 0.03933 1.10530 2.19151 3.31252 4.43127 5.40772 6.38281 7.41086
-0.0446 0.03974 1.10598 2.19296 3.31586 4.43690 5.41142 6.38444 7.41192
-0.0430 0.04015 1.10668 2.19443 3.31930 4.44270 5.41523 6.38612 7.41301
