x y
0.9 0.0313615
0.03 0.781323
0.07 0.46637
0.22 0.151787
0.4 0.998999
0.9 0.962614
0.03 0.607936
0.07 0.847596
0.22 0.486674
0.4 0.169595
0.9 0.500533
0.03 0.276128
0.07 0.123465
0.22 0.82489
0.4 0.463269
0.9 0.125674
0.03 0.581188
0.07 0.297221
0.22 0.0894738
0.4 0.870758
0.9 0.503937
0.03 0.257215
0.07 0.998951
0.22 0.948701
0.4 0.531163
0.9 0.822834
0.03 0.547877
0.07 0.211319
0.22 0.552337
0.4 0.208964
0.9 0.0601552
0.03 0.799579
0.07 0.452137
0.22 0.147454
0.18 0.162261
0.18 0.236558
0.18 0.0484697
0.18 0.0624632
0.18 0.00411663
0.18 0.0122792
0.18 0.00103122
0.18 0.00103238
0.18 0.326829
0.18 0.401632
0.18 0.0531422
0.18 0.0721859
0.18 0.0198864
0.18 0.0271152
0.18 0.00292781
0.18 0.00354058
0.18 0.401632
0.18 0.326829
0.18 0.0721859
0.18 0.0529371
0.18 0.0271152
0.18 0.0198864
0.18 0.00354058
0.18 0.00292781
0.18 0.235067
0.18 0.162573
0.18 0.0624632
0.18 0.0472681
0.18 0.0122787
0.18 0.00412204
0.18 0.00103275
0.18 0.00103138
0.18 0.401632
0.18 0.326829
0.18 0.072209
0.18 0.0530424
0.18 0.0271152
0.18 0.0198864
0.18 0.00354058
0.18 0.00292781
0.18 0.326829
0.18 0.401632
0.18 0.0530401
0.18 0.0721956
0.18 0.0198921
0.18 0.0271152
0.18 0.00292807
0.18 0.00354058
0.18 0.0518089
0.18 0.0496496
0.18 0.00980537
0.18 0.00631173
0.18 0.00186206
0.18 0.00110579
0.18 0.000217148
0.18 0.000153619
0.18 0.0725248
0.18 0.0619762
0.18 0.0134445
0.18 0.00855876
0.18 0.00286545
0.18 0.00154769
0.18 0.000529359
0.18 0.000354725
0.18 0.0852586
0.18 0.0852586
0.18 0.0123256
0.18 0.0123256
0.18 0.00237587
0.18 0.00237587
0.18 0.000425414
0.18 0.00042542
0.18 0.0619762
0.18 0.0725248
0.18 0.00855876
0.18 0.0134445
0.18 0.00154769
0.18 0.00286545
0.18 0.000354725
0.18 0.000529359
0.18 0.0496496
0.18 0.0518089
0.18 0.0063117
0.18 0.00980543
0.18 0.00110575
0.18 0.00186207
0.18 0.000153626
0.18 0.000217148
0.18 0.0619762
0.18 0.0725248
0.18 0.00855876
0.18 0.0134445
0.18 0.00154769
0.18 0.00286544
0.18 0.000354725
0.18 0.000529359
0.18 0.0852586
0.18 0.0852586
0.18 0.0123256
0.18 0.0123256
0.18 0.00237587
0.18 0.00237587
0.18 0.000425416
0.18 0.000425415
0.18 0.0725248
0.18 0.0619762
0.18 0.0134445
0.18 0.00855876
0.18 0.00286545
0.18 0.00154769
0.18 0.000529359
0.18 0.000354726
0.15 0.273744
0.15 0.310746
0.15 0.288254
0.15 0.238444
0.15 0.207708
0.15 0.0720296
0.15 0.0517747
0.15 0.0344845
0.15 0.0205537
0.15 0.0102887
0.15 0.008037
0.15 0.008037
0.15 0.00621653
0.15 0.322521
0.15 0.259904
0.15 0.26134
0.15 0.288706
0.15 0.226567
0.15 0.0985459
0.15 0.0421255
0.15 0.0283517
0.15 0.0162181
0.15 0.0155102
0.15 0.0107415
0.15 0.00862044
0.15 0.00768005
0.15 0.280462
0.15 0.274007
0.15 0.254736
0.15 0.299522
0.15 0.241414
0.15 0.0641441
0.15 0.0359014
0.15 0.0241406
0.15 0.0162475
0.15 0.0141162
0.15 0.0135973
0.15 0.0122846
0.15 0.0109478
0.15 0.275473
0.15 0.271419
0.15 0.285916
0.15 0.249304
0.15 0.216849
0.15 0.0635939
0.15 0.0399062
0.15 0.0293636
0.15 0.021644
0.15 0.0163673
0.15 0.0149897
0.15 0.014207
0.15 0.0137641
0.15 0.285819
0.15 0.259621
0.15 0.283875
0.15 0.254446
0.15 0.1947
0.15 0.0758288
0.15 0.0496124
0.15 0.033871
0.15 0.0157137
0.15 0.0119831
0.15 0.0119831
0.15 0.0118458
0.15 0.0118458
0.15 0.289954
0.15 0.236211
0.15 0.266779
0.15 0.281867
0.15 0.178444
0.15 0.0920246
0.15 0.0556274
0.15 0.023155
0.15 0.0133532
0.15 0.0113851
0.15 0.00957295
0.15 0.00786914
0.15 0.0060624
0.15 0.264039
0.15 0.319293
0.15 0.251158
0.15 0.24988
0.15 0.204212
0.15 0.0776336
0.15 0.0509435
0.15 0.0213253
0.15 0.0155344
0.15 0.0118227
0.15 0.0106628
0.15 0.0102094
0.15 0.00767367
0.15 0.312483
0.15 0.300725
0.15 0.241546
0.15 0.286263
0.15 0.235875
0.15 0.0722489
0.15 0.0446993
0.15 0.0380981
0.15 0.0173074
0.15 0.0130331
0.15 0.0116196
0.15 0.0114997
0.15 0.00839655
0.18 0.0110559
0.18 0.00118753
0.18 0.000207441
0.18 1.18325e-05
