S Q Qlo Qhi K SCI
10 1.0123 0.9721 1.0525 1.001507911289943 1.0110331181586507
20 1.2096 1.1928 1.2263 0.9632923929235551 0.9461569987085774
30 1.1822 1.1809 1.1836 0.9913956547408916 0.9904553930275647
40 1.1290 1.1103 1.1478 1.1242829744656166 0.9749043649942652
60 0.9104 0.8898 0.9309 1.0768062033661054 0.6955131260416917
80 0.7005 0.6799 0.7211 1.0913814980258414 0.6499848324326198
120 0.6694 0.6648 0.6741 1.064509034285613 0.66647187935245
160 0.5403 0.5279 0.5528 0.8697538138751981 0.7363150351014834
200 0.2770 0.2636 0.2905 0.8090878213490115 0.6127767708919261
260 0.0330 0.0307 0.0352 0.3091630536327234 0.09712706252984414
