S Q Qlo Qhi K SCI
10 0.9750 0.9186 1.0314 1.112734179539557 0.7585996102153744
20 0.9074 0.8740 0.9409 0.8983474496497696 0.7598863457208251
30 0.9018 0.8968 0.9069 0.8758864311000029 0.8159286304043967
40 0.8873 0.8866 0.8880 0.8888692428219108 0.544955204761521
60 0.6618 0.6459 0.6776 0.8085638348034858 0.6068270765740935
80 0.6013 0.5814 0.6212 0.8155967015607969 0.5153065752397052
120 0.3677 0.3613 0.3742 0.6387810336883635 0.6408869552130892
160 0.2136 0.2089 0.2183 0.6896048896678597 0.5577790855978908
200 0.0984 0.0927 0.1042 0.7051950607564341 0.5335484897787978
260 0.0129 0.0090 0.0168 0.5305241445943925 0.024155135934817495
